x1,x2,x3,y
0.562,8.76,0.1462,0.1182
7.178,3.218,0.8266,0.0556
6.826,4.054,0.4464,0.074
1.438,3.576,0.2352,0.0972
9.266,1.68,0.2058,0.0895
8.704,4.316,0.0748,0.0777
1.88,0.832,0.6204,0.1756
7.866,9.408,0.0868,0.0515
7.86,2.304,0.4988,0.0827
7.158,5.15,0.9906,0.0704
1.294,6.982,0.5106,0.1126
6.164,0.24,0.5136,0.0573
4.49,2.474,0.4956,0.0552
3.464,3.944,0.4832,0.0571
0.922,7.85,0.8378,0.1453
9.882,2.414,0.9804,0.098
3.804,6.512,0.901,0.0941
7.388,3.114,0.5572,0.0875
0.294,7.194,0.5264,0.1266
3.594,7.388,0.5156,0.0923
1.314,3.078,0.5934,0.1702
1.906,1.138,0.2494,0.0758
7.002,9.05,0.6426,0.0911
7.274,3.63,0.6484,0.0837
7.78,7.056,0.5612,0.0683
7.584,4.436,0.5656,0.0535
1.062,9.616,0.3316,0.1223
0.672,8.48,0.3464,0.0984
3.576,1.426,0.841,0.0741
6.95,9.24,0.42,0.0607
9.306,9.12,0.7554,0.0924
7.686,0.034,0.9536,0.0991
3.076,9.134,0.4544,0.0679
8.87,3.474,0.5704,0.086
9.74,3.704,0.0296,0.0838
0.742,9.01,0.1272,0.1048
9.018,4.98,0.3458,0.0772
2.922,8.624,0.5574,0.0953
5.932,7.286,0.1622,0.0584
5.168,0.632,0.7752,0.0807
6.888,7.476,0.3202,0.0641
3.772,1.62,0.6414,0.0738
1.376,3.446,0.9896,0.1952
3.564,6.5,0.9942,0.0697
9.288,0.738,0.9804,0.0909
5.55,6.698,0.7398,0.0934
3.876,7.298,0.1152,0.0824
0.18,6.464,0.0072,0.1211
0.318,6.344,0.6646,0.1424
6.224,7.294,0.3648,0.0766
9.922,7.362,0.846,0.0806
5.294,0.504,0.1,0.0598
9.944,5.226,0.3836,0.0616
1.974,7.9,0.5608,0.07
9.05,7.444,0.1314,0.0912
9.584,0.598,0.5598,0.0693
8.378,9.53,0.759,0.074
1.568,5.95,0.8418,0.1148
8.238,8.504,0.4992,0.0705
8.502,2.606,0.6122,0.0592
0.446,4.502,0.9596,0.1627
0.738,3.696,0.1294,0.1579
6.264,0.538,0.9942,0.0954
6.652,8.138,0.3588,0.0799
9.978,0.358,0.6402,0.0732
6.55,0.074,0.6896,0.0718
8.092,4.45,0.1152,0.0797
2.162,6.428,0.7144,0.0859
4.164,4.158,0.878,0.0536
1.79,2.588,0.0708,0.0622
9.24,3.928,0.7522,0.0891
1.06,6.214,0.3452,0.1023
7.942,1.684,0.111,0.0898
9.324,9.178,0.0408,0.0893
0.156,7.316,0.1252,0.1113
1.652,7.614,0.6058,0.091
8.368,9.312,0.0744,0.061
6.486,0.104,0.5252,0.0967
0.6,9.494,0.7198,0.1412
8.892,3.992,0.4762,0.0881
8.996,5.892,0.7394,0.088
9.448,9.812,0.5438,0.072
4.01,3.746,0.2266,0.0837
8.758,3.844,0.5008,0.0974
4.242,4.618,0.2498,0.0979
7.59,8.81,0.149,0.053
1.88,3.644,0.477,0.1042
2.634,2.666,0.7242,0.0698
3.774,4.904,0.8596,0.0906
7.888,5.55,0.3626,0.085
8.138,4.914,0.382,0.0759
1.672,4.83,0.63,0.1265
6.872,4.258,0.8708,0.0538
9.272,8.296,0.1138,0.0866
3.516,7.32,0.8692,0.0512
1.182,5.462,0.0774,0.078
6.816,0.164,0.571,0.0789
7.014,7.004,0.1766,0.0649
9.93,6.53,0.82,0.0826
4.994,2.314,0.2392,0.072
5.25,1.948,0.1698,0.0768
7.104,5.19,0.107,0.0817
4.852,5.996,0.0076,0.0651
9.84,7.64,0.5394,0.0651
6.568,2.656,0.7384,0.093
0.608,1.814,0.181,0.2521
5.686,8.828,0.0344,0.0865
9.728,0.068,0.5902,0.0583
2.276,0.934,0.1448,0.0784
8.068,3.146,0.3316,0.0939
4.14,9.672,0.2692,0.0928
0.314,6.484,0.13,0.1525
5.382,2.892,0.9928,0.0815
3.852,4.65,0.0868,0.0757
0.608,6.58,0.785,0.1127
3.282,3.896,0.9602,0.095
4.756,3.99,0.5592,0.0601
0.552,2.852,0.5064,0.2394
8.536,2.886,0.2964,0.0797
0.718,1.318,0.8838,0.3824
9.516,0.91,0.7306,0.0513
3.338,7.216,0.1202,0.0848
8.806,9.084,0.097,0.0849
9.478,1.636,0.6418,0.0637
3.4,3.428,0.9422,0.06
4.35,2.026,0.8654,0.0972
4.106,4.704,0.9972,0.0553
5.572,3.492,0.8516,0.0934
9.136,6.288,0.1138,0.0684
7.06,8.248,0.0234,0.0672
3.3,0.176,0.2614,0.0632
8.536,3.154,0.9438,0.095
2.826,1.086,0.5884,0.0575
0.66,5.416,0.1584,0.1119
5.814,8.72,0.5454,0.0822
5.804,6.39,0.1,0.099
8.312,8.132,0.0698,0.0571
4.424,3.508,0.0542,0.0644
6.008,8.216,0.8344,0.0551
7.086,0.346,0.19,0.0636
1.558,8.334,0.5586,0.105
2.092,4.808,0.6514,0.0725
7.542,3.068,0.3804,0.057
8.744,5.424,0.7104,0.0905
5.022,5.074,0.2918,0.0502
6.238,5.794,0.9856,0.0896
7.76,6.098,0.6386,0.0622
8.166,7.144,0.7204,0.0907
2.03,6.076,0.6788,0.067
2.654,9.01,0.125,0.0807
2.068,0.404,0.2068,0.0905
8.134,8.038,0.7806,0.0999
1.15,5.286,0.239,0.1223
4.718,4.934,0.1068,0.0766
8.294,1.248,0.7614,0.0684
1.216,9.508,0.8902,0.1317
0.574,4.746,0.5404,0.1545
7.768,3.866,0.8762,0.0922
1.08,7.92,0.9956,0.1036
4.118,3.712,0.4238,0.055
2.486,6.466,0.1358,0.075
3.486,7.788,0.2224,0.0807
6.248,5.624,0.5566,0.0916
2.084,5.43,0.0702,0.088
7.436,4.306,0.501,0.0965
4.258,2.252,0.7172,0.0999
5.174,7.34,0.9828,0.0862
3.248,3.95,0.7688,0.0802
8.724,5.842,0.9722,0.065
7.568,8.246,0.6524,0.0779
