x1,x2,x3,x4,y
26.34,16.06,13.46,22.83,274
1.36,23.66,2.2,24.21,2121
16.91,22.84,34.91,32.04,583
47.01,34.3,13.47,25.23,-1641
3.39,26.94,45.24,14.32,-610
6.55,16.49,6.8,29.34,393
4.9,42.4,49.02,25.61,-34073
4.37,32.34,30.26,44.29,-3104
8.31,2.89,16.18,46.74,-3
24.82,32.82,32.6,25.66,-1287
11.17,1.05,1.14,41.68,6
8.67,38.66,13.54,6.54,-1712
14.24,4.28,38.83,23.22,28
17.47,43.78,46.27,38.61,-7655
40.55,1.35,33.12,22.07,-3
3.36,20.92,40.76,32.35,1905
5.42,19.75,31.13,45.21,-1600
18.73,46.43,49.64,47.84,12407
19.16,42.13,18.37,17.65,-2198
6.55,41.96,25.65,25.51,-1533
38.38,19.16,15.88,31.56,384
5.86,48.37,24.83,21.96,2958
32.14,29.48,26.07,5.74,-7147
40.09,15.01,41.04,21.21,-380
12.42,2.76,0.86,41.12,15
8.29,47.91,7.02,42.26,3511
34.45,2.12,7.7,20.07,7
22.54,27.42,34.57,49.28,1519
17.24,36.36,38.95,45.05,-1263
8.23,21.63,43.8,8.21,1199
8.63,42.55,11.69,20.62,2376
9.29,1.05,27.29,11.59,6
38.28,24.77,29.81,7.28,745
47.61,43.23,11.79,30.44,-1859
6.52,7.18,43.95,43.27,-45
26.2,19.63,47.55,35.56,-428
12.66,38.44,37.51,44.46,-1698
18.62,20.81,24.46,28.94,2457
23.96,21.91,4.82,31.41,-3081
5.19,16.18,14.81,27.91,-239
41.25,20.67,10.71,48.71,-425
27.78,1.41,27.02,17.08,10
20.32,1.52,45.42,14.59,7
42.98,25.87,0.91,15.33,2620
24.78,15.07,4.67,19.51,381
35.8,4.84,37.16,14.46,37
6.97,14,48.86,11.35,-165
16.4,22.36,8.61,21.36,-468
4.53,15.82,16.73,13.12,380
38.13,10.73,2.54,43.84,140
41.51,23.52,4.26,46.22,1347
0.64,18.04,19.62,41.19,-492
0.52,5.47,9.61,30.84,-16
13.53,35.83,8.75,30.45,1458
26.91,7.98,4.01,33.13,109
48.77,21.13,27.17,38.52,-1203
2.63,7.58,9.13,29.47,-117
30.53,0.47,33.85,33.8,8
27.3,9.89,7.44,40.16,-312
3.75,5.19,30.19,1.32,53
32.74,44.11,25.6,0.21,-1943
14.01,46.14,7.95,5.23,2540
24.63,41.51,26.02,12.9,-1922
26.54,8.94,29.27,5.64,-740
8.23,49.96,10.67,24.66,-9295
36.94,28.3,49.11,26.5,1026
2.91,28.01,48.42,46.34,5455
36.32,46.77,26.49,49.11,2807
49.93,9.34,23.68,28.72,-243
14.4,21.1,8.96,47.55,-629
9.29,34.62,35.64,7.49,1361
21.5,23.19,44,28.56,595
39.82,41.45,44.52,18.38,-3061
39.96,33.34,24.29,3.65,5768
3.64,36.39,29.34,23.84,-1338
42.57,6.35,38.88,48.29,47
46.64,25.3,31.87,43.18,-1923
16.51,47.33,33.14,5.2,2542
20.85,1.72,28.7,14.66,-4
10.35,28.84,3.84,8.24,3951
49.79,15.91,38.87,46.05,-381
46.6,4.81,26.43,5.41,51
32.63,23.19,3.92,5.28,-2228
35.83,46.12,6.34,33.88,2983
4.43,16.89,10.15,20.68,1284
9.55,26.76,18.86,14.02,-3077
8,41.76,26.76,26.54,-1576
10.09,45.63,30.87,21.89,2596
3.33,36.62,47.16,9.88,-1097
15.1,16.28,35.02,37.34,437
34.15,23.01,10.98,14.25,556
35.5,11.94,1.74,38.54,-210
3.5,17.9,40.93,41.17,-247
36.11,6.16,19.42,37.74,-34
21.9,6.47,18.45,36.15,-83
41.66,16,26.19,19.74,-243
47.82,43.46,33.9,8.08,-2368
34.95,25.58,41.51,17.96,-39191
32.59,11.64,48.51,35.95,-122
32.27,8.98,10.3,34.75,-89
24.96,32.17,35.24,18.27,3925
11.16,22.38,29.17,48.27,-466
25.4,46.75,41.39,47.1,-2475
21.58,13.53,12.35,37.49,-164
22.86,3.19,26.13,42.18,19
9.96,40.37,26.97,16.91,2319
37.07,29.01,38.44,40.89,1139
31.3,18.09,11.12,42.48,-311
43.69,48.04,4.47,8.11,2704
44.22,13.2,37.63,46.76,192
17.98,37.19,4.73,36.37,-1331
31.82,42.1,28.95,24.29,84608
11.01,12.86,30.52,2.5,197
44.5,49.21,17.81,33.8,2588
11.6,30.34,32.02,11.81,-3110
23.65,2.68,11.83,2.54,16
11.81,5.73,47.82,46.38,-140
14.68,43.77,11.89,25.2,-2372
26.23,28.69,2.39,20.21,-1479
17.74,25.63,31.42,36.42,-1921
29.08,6.37,16.09,31.69,51
32.88,18.43,19.72,17.61,707
10.98,15.25,5.81,23.57,-412
35.8,6.33,36.4,15.56,111
32.84,18.05,5.28,13.44,1209
0.17,48.71,7.05,18.63,-363
10.06,29.25,16.79,23.22,-776
14.14,38.44,42.82,46.53,1921
10.05,14.13,12.55,16.45,326
1.78,4.47,29.64,26.76,53
32.22,35.11,48.31,26.32,1278
7.24,40.92,16.05,46.54,-2258
26.42,44.03,26.32,27.6,-5963
8.17,39.85,4.73,48.07,-1709
34.44,12.83,13.35,0.48,-158
49.48,26.25,8.87,18.61,747
25.62,25.88,24.25,7.35,2030
5.92,31.9,25.89,29.8,1858
31.66,28.54,37.16,31.72,-1160
46.29,15.47,33.31,45.1,-318
33.7,15.87,4.14,16.49,-240
10.61,29.53,29.85,3.99,-1027
6.8,6.36,25.51,12.86,-28
28.2,17.81,5.99,48.46,-3359
49.42,6.53,9.77,16.78,-47
26.73,37.15,36.48,46.68,2047
7.66,34.92,7.09,2.29,-5581
13.94,5.58,19.17,31.32,-22
13.3,18.83,25.59,16.58,429
31.71,19.6,45.4,20.42,-366
30.09,4.92,30.43,5.44,-16
41.16,27.13,2.61,19.84,30078
10.83,15.32,27.18,45.02,-368
24.24,27.68,35.45,30.77,-86248
48.96,36.12,8.34,43.85,2340
35.89,13.46,3.37,47.18,-170
27.99,24.4,36.67,0.84,2312
38.88,5.96,25.43,39.7,329
21.38,14.94,15.3,39.05,-943
4.26,46.37,23.48,26.28,3047
39.36,27.86,44.79,34.46,1316
42.07,6.98,17.41,41.3,-132
48.63,26.3,5.83,1.22,8466
42.68,18.65,17.83,23.67,-367
21.88,26.52,23.74,34.45,2982
36.76,48.83,6.08,17.86,-3241
46.21,25.63,34.25,24.94,683
25.05,29.32,17.13,8.49,1292
49.75,11.53,17.72,1.88,143
15.49,15.03,0.17,6.66,-208
33.67,9.9,18.87,6.85,-104
37.94,19.29,3.19,13.52,638
38.33,30.91,10.23,8.74,-8929
14.38,8.58,14.8,20.63,-67
18.41,8.48,5.96,12.57,-63
47.63,15.53,26.53,7.34,-243
17.65,3.85,29.9,48.95,-4
32.69,34.48,5.48,28.13,1571
10.22,27.68,1.59,32.74,-710
44.79,14.08,18.48,39.47,388
28.41,47.56,19.08,3.16,2409
45.5,47.16,27.7,10.03,-5504
15.7,44.88,1.78,30.53,2449
25.6,45.05,12.78,32.54,-3103
45.93,44,1.85,0.77,-3915
49.14,12.43,17.96,24.35,-143
24.4,10.94,13.86,45.4,-107
30.34,24.84,3.9,8.34,2618
