x1,x2,x3,y
2.77,3.007,3.408,5.8121
1.69,4.846,1.684,5.3834
4.139,4.52,0.81,3.4803
4.097,4.279,2.49,8.0058
3.584,3.3,1.768,5.4116
2.632,2.253,3.282,4.9355
2.59,4.494,0.651,2.9866
2.665,3.485,2.04,5.3396
0.893,2.315,1.198,2.2521
1.946,2.428,4.511,3.4688
0.451,4.907,0.884,4.7229
4.745,3.934,2.474,8.2574
2.236,3.285,0.596,1.9914
3.791,2.964,2.328,6.3029
0.828,4.335,4.627,4.5592
0.027,3.37,3.99,3.4385
1.834,2.867,0.974,2.4491
0.182,0.737,0.099,0.6217
2.105,2.746,1.957,4.1306
2.15,4.287,0.544,2.7405
2.78,2.075,0.145,0.8502
3.181,2.845,2.29,5.5593
0.132,2.439,4.596,2.5378
0.89,4.868,4.533,5.1659
4.229,2.223,2.412,6.1435
2.077,2.54,4.152,4.1373
0.413,3.978,0.601,3.7272
4.351,4.921,1.485,6.3671
3.581,0.86,3.256,4.5221
0.582,0.17,1.41,0.6735
0.291,2.13,4.046,2.4027
1.148,1.818,4.743,2.1926
3.671,2.709,4.02,5.8849
4.011,4.115,4.949,5.1135
1.141,1.806,4.716,2.2095
2.595,1.432,0.159,1.2645
4.955,0.602,1.599,5.0813
1.477,1.727,0.506,0.9165
0.549,3.995,2.79,4.6117
4.895,4.075,0.773,3.5418
2.701,1.418,3.129,4.1924
3.07,0.262,3.35,3.3885
4.507,1.703,3.531,6.1851
1.328,0.434,1.507,1.4658
4.171,2.023,0.671,2.9337
2.052,2.822,2.977,4.9183
4.599,0.888,1.97,5.0878
4.433,2.511,3.852,6.6147
0.816,0.206,0.901,0.7613
2.04,4.291,2.792,6.3018
