x1,x2,x3,x4,y
2.634,1.606,1.346,2.283,2.6442
0.136,2.366,0.22,2.421,0.1394
1.691,2.284,3.491,3.204,9.1101
4.701,3.43,1.347,2.523,6.198
0.339,2.694,4.524,1.432,1.609
0.655,1.649,0.68,2.934,0.7451
0.49,4.24,4.902,2.561,4.7888
0.437,3.234,3.026,4.429,4.3161
0.831,0.289,1.618,4.674,1.0026
2.482,3.282,3.26,2.566,10.4317
1.117,0.105,0.114,4.168,0.0869
0.867,3.866,1.354,0.654,0.5886
1.424,0.428,3.883,2.322,2.1556
1.747,4.378,4.627,3.861,19.7921
4.055,0.135,3.312,2.207,0.8661
0.336,2.092,4.076,3.235,2.9451
0.542,1.975,3.113,4.521,4.6345
1.873,4.643,4.964,4.784,28.3229
1.916,4.213,1.837,1.765,3.8538
0.655,4.196,2.565,2.551,3.2457
3.838,1.916,1.588,3.156,5.7011
0.586,4.837,2.483,2.196,2.5632
3.214,2.948,2.607,0.574,2.1012
4.009,1.501,4.104,2.121,8.3525
1.242,0.276,0.086,4.112,0.1105
0.829,4.791,0.702,4.226,1.9316
3.445,0.212,0.77,2.007,0.3444
2.254,2.742,3.457,4.928,18.2596
1.724,3.636,3.895,4.505,17.9119
0.823,2.163,4.38,0.821,1.7422
0.863,4.255,1.169,2.062,1.5749
0.929,0.105,2.729,1.159,0.2281
3.828,2.477,2.981,0.728,2.9822
4.761,4.323,1.179,3.044,7.5402
0.652,0.718,4.395,4.327,4.1829
2.62,1.963,4.755,3.556,16.2524
1.266,3.844,3.751,4.446,13.8286
1.862,2.081,2.446,2.894,5.8752
2.396,2.191,0.482,3.141,1.5569
0.519,1.618,1.481,2.791,1.2692
4.125,2.067,1.071,4.871,6.456
2.778,0.141,2.702,1.708,0.5725
2.032,0.152,4.542,1.459,0.7641
4.298,2.587,0.091,1.533,0.2741
2.478,1.507,0.467,1.951,0.7905
3.58,0.484,3.716,1.446,1.9724
0.697,1.4,4.886,1.135,1.9428
1.64,2.236,0.861,2.136,1.5399
0.453,1.582,1.673,1.312,0.6399
3.813,1.073,0.254,4.384,0.8851
