x,y
3.4133,1.6135
5.9967,2.6665
3.6933,1.748
13.9867,-1.3258
12.87,-0.2448
7.02,2.8112
11.1633,1.2221
6.8933,2.8042
0.0533,0.0506
1.35,0.5367
9.1,2.4513
12.5633,0.0303
5.9667,2.6537
12.46,0.1354
10.4567,1.7242
4.38,2.0941
0.7733,0.2834
11.47,0.9912
4.5367,2.1704
16.3167,-3.3214
4.4533,2.135
0.5633,0.1966
9.42,2.308
3.9567,1.8964
12.7,-0.0971
9.9633,2.0354
12.9467,-0.3237
2.3933,1.071
11.33,1.0962
8.45,2.6621
2.2533,0.9997
14.3767,-1.6793
12.58,0.0274
10.75,1.5357
15.1633,-2.4069
11.9433,0.5784
13.28,-0.6468
15.1233,-2.3563
13.4567,-0.813
1.6433,0.6725
8.23,2.7126
4.5233,2.1492
11.37,1.0737
3.26,1.5252
8.7867,2.568
11.2567,1.1501
9.27,2.3785
8.79,2.5645
16.66,-3.5551
11.88,0.6352
15.8967,-3.0132
4.9033,2.3162
2.9167,1.3391
2.31,1.0177
9.14,2.438
9.01,2.4832
8.8667,2.5467
3.1067,1.4534
2.0133,0.8728
2.15,0.936
2.1333,0.9256
11.6733,0.8219
13.85,-1.1863
8.7867,2.5576
4.6333,2.2047
1.3,0.5045
13.3733,-0.7381
6.7933,2.7933
9.0633,2.4649
0.4367,0.17
0.3033,0.1152
1.0033,0.3804
0.6367,0.2385
2.1667,0.9513
8.8267,2.556
10.2667,1.8564
0.6433,0.2295
3.8767,1.8447
16.3133,-3.3171
1.4167,0.5607
15.26,-2.4839
10.4867,1.7131
7.1933,2.81
3.43,1.6135
6.2233,2.7205
1.2133,0.4708
8.74,2.5892
1.78,0.7561
0.0333,0.0417
9.8833,2.0793
15.3933,-2.6053
13.03,-0.3984
2.38,1.0629
2.1,0.905
1.6067,0.6583
6.2867,2.7226
1.1033,0.4274
15.9767,-3.0798
6.5867,2.7704
4.8367,2.2941
7.6933,2.7942
16.3967,-3.3837
7.56,2.8137
1.3833,0.5499
4.0167,1.9114
12.82,-0.2048
14.9333,-2.1883
3.42,1.619
10.8833,1.4295
7.2967,2.8241
5.9867,2.656
8.8767,2.5317
11.8567,0.6619
6.03,2.6695
13.7567,-1.0978
11.94,0.5903
15.5867,-2.761
11.1267,1.2502
4.4933,2.1389
5.7433,2.6039
6.69,2.7875
9.2533,2.382
10.3,1.837
15.29,-2.5066
1.83,0.7729
7.13,2.8178
0.34,0.1195
10.5667,1.6666
11.0233,1.3369
13.9467,-1.2835
7.2133,2.8253
16.54,-3.4813
4.14,1.979
3.9333,1.8859
8.5833,2.6251
3.3467,1.5802
15.9467,-3.0397
9.1833,2.4259
13.9833,-1.3181
6.7267,2.786
6.3567,2.735
9.3267,2.3594
6.8567,2.8041
11.9467,0.5761
9.2367,2.397
1.4233,0.5698
8.4267,2.6715
1.32,0.5203
3.0667,1.4384
0.0633,0.0448
13.5,-0.8502
15.2267,-2.4481
3.4933,1.6614
0.9967,0.3851
14.7767,-2.0511
10.02,2.0123
11.0767,1.2988
8.32,2.6929
15.6933,-2.8408
12.8267,-0.2076
14.2633,-1.5777
8.54,2.6351
15.1733,-2.3997
6.53,2.7757
14.2067,-1.5335
8.15,2.7398
14.2267,-1.5354
11.6367,0.8568
4.8333,2.2975
1.4633,0.5939
11.1033,1.2664
15.0267,-2.2757
8.0733,2.7387
1.94,0.8208
1.65,0.681
12.2367,0.3341
14.3433,-1.6489
3.7533,1.7974
1.5333,0.624
13.2867,-0.6531
11.5467,0.9167
6.8767,2.8031
7.04,2.81
12.0467,0.4965
2.6033,1.1741
5.74,2.5987
11.03,1.3334
2.4767,1.1197
11.5567,0.9222
8.0633,2.757
7.4833,2.8202
8.4267,2.6647
11.52,0.9381
0.58,0.2019
1.2233,0.4779
10.2733,1.8495
7.8667,2.7696
11.6467,0.8459
6.1867,2.7184
1.8167,0.7662
