x1,x2,x3,y
0.26,1.633,1.086,0.2069
4.792,3.083,4.236,3.6201
4.864,2.013,4.387,3.668
2.474,1.769,3.804,1.8687
2.534,0.759,2.507,1.9141
0.913,2.348,1.189,0.7116
4.24,3.572,3.2,3.2108
1.397,2.266,3.647,1.0582
2.856,3.478,4.901,2.1577
0.313,2.281,4.069,0.242
0.255,1.322,4.214,0.2014
1.408,2.748,2.379,1.0748
2.226,0.333,3.714,1.6803
0.849,3.955,2.24,0.6562
4.082,0.112,0.534,3.0767
4.675,1.765,2.477,3.5299
0.966,1.67,4.918,0.7342
0.635,4.063,1.895,0.5
4.398,2.502,4.88,3.3168
3.822,4.903,2.61,2.9373
1.511,0.408,0.121,1.8741
0.98,3.116,3.143,0.747
0.824,0.702,4.569,0.6287
2.862,0.476,2.169,2.162
3.148,4.544,3.332,2.394
0.601,1.237,3.816,0.4617
2.688,0.719,0.72,2.0374
0.93,4.7,4.316,0.7099
3.453,3.619,4.719,2.6121
0.803,0.851,0.768,0.6144
3.587,1.494,2.047,2.7114
2.411,1.761,4.284,1.821
4.818,3.359,4.682,3.6402
0.401,3.713,1.469,0.3242
1.492,4.142,3.225,1.1364
3.132,4.348,4.77,2.3718
2.207,2.834,2.67,1.6747
1.957,4.097,4.657,1.4845
4.253,4.714,3.494,3.2346
3.327,1.682,2.113,2.5172
0.874,2.619,3.044,0.6663
3.698,3.677,1.439,2.9402
1.328,2.294,2.255,1.0107
2.26,3.127,3.365,1.7125
3.775,1.79,2.667,2.8515
1.472,2.239,3.479,1.1159
0.967,4.935,3.76,0.7411
1.008,3.754,3.861,0.7704
3.163,0.935,3.616,2.3862
1.794,2.054,1.66,1.366
2.724,2.775,3.111,2.0602
1.626,0.857,3.222,1.2299
3.087,4.369,3.437,2.3476
2.566,0.12,4.089,1.9355
3.581,1.701,1.928,2.7066
1.012,4.465,2.222,0.7883
1.745,3.848,3.889,1.3264
0.834,4.117,3.374,0.637
4.746,0.484,3.615,3.5743
0.255,4.816,2.751,0.2046
2.48,4.891,4.291,1.8845
0.76,4.666,3.113,0.5827
3.131,2.629,1.925,2.3833
2.164,1.915,1.537,1.6453
1.139,2.107,4.556,0.8662
0.788,3.897,3.363,0.6011
3.093,4.019,4.479,2.3429
4.878,4.138,2.689,3.717
0.173,3.604,4.518,0.1381
1.588,2.262,1.933,1.2102
2.174,0.713,3.37,1.6429
1.144,3.072,2.69,0.8751
2.24,2.976,3.171,1.7004
2.157,2.151,2.968,1.6317
2.655,1.928,2.801,2.0101
3.805,1.018,1.733,2.8739
4.251,3.438,2.58,3.2294
4.711,1.636,2.305,3.5592
0.981,1.551,3.363,0.7469
1.642,0.416,2.366,1.2407
0.743,1.641,0.921,0.575
2.921,0.191,1.488,2.2038
2.49,2.71,1.423,1.9162
1.321,1.611,1.867,1.0046
2.933,0.245,2.024,2.2123
1.998,0.57,1.495,1.5104
4.758,2.975,3.07,3.6009
3.861,3.881,1.437,3.1167
2.598,3.587,2.339,1.9829
3.323,1.215,0.603,2.5677
0.19,2.651,2.763,0.1513
2.757,1.491,4.319,2.0807
3.174,2.275,1.307,2.4328
0.144,0.008,4.994,0.1153
3.57,0.338,3.005,2.6927
4.46,2.496,1.213,3.4443
1.687,1.541,2.147,1.2779
1.468,4.201,1.386,1.2675
1.676,3.86,4.69,1.2726
4.34,1.489,4.829,3.2704
0.936,0.563,3.373,0.7127
1.347,0.27,3.901,1.0204
3.578,2.546,4.383,2.7012
2.604,4.744,2.706,1.9984
2.953,0.978,0.587,2.2612
0.881,1.445,2.354,0.6706
3.251,0.261,1.329,2.4523
1.477,3.616,2.794,1.128
0.144,1.301,3.787,0.1153
1.154,0.881,1.195,0.8777
0.516,0.092,0.892,0.3964
1.137,4.234,1.9,0.8891
1.229,1.614,0.81,0.955
4.173,1.347,2.943,3.1498
1.976,4.04,2.99,1.5037
0.654,2.181,4.118,0.5015
0.15,3.805,4.915,0.1214
2.176,1.953,2.702,1.6491
0.293,3.928,2.187,0.2298
1.813,2.149,3.508,1.3728
3.486,1.716,2.646,2.6343
0.169,3.429,4.963,0.1344
0.251,0.624,2.816,0.1974
2.924,2.387,3.306,2.2089
4.092,4.622,3.977,3.1024
4.211,0.069,2.112,3.1751
1.937,2.454,2.367,1.4714
0.655,1.759,3.649,0.5
4.412,4.799,1.704,3.6191
2.068,1.937,2.403,1.5666
1.291,4.258,1.63,1.0359
4.697,1.623,1.254,3.5673
4.907,0.703,1.766,3.6977
0.002,3.652,1.417,0.007
1.69,0.779,4.336,1.276
3.533,3.861,3.025,2.6816
0.189,4.557,1.367,0.2156
4.475,1.909,3.07,3.3757
