x1,x2,x3,x4,y
0.281,4.38,0.731,2.007,0.3948
1.609,4.133,4.437,3.413,15.4732
2.232,2.601,0.719,1.788,1.4132
2.901,4.633,0.84,1.029,1.4835
4.352,2.158,0.374,2.233,1.1636
0.416,3.102,2.253,3.933,2.7011
0.434,4.854,3.93,1.152,1.6417
1.732,3.579,2.575,4.953,13.0076
0.647,3.491,2.553,1.83,2.2062
0.12,2.568,4.273,2.245,0.9351
2.478,4.476,1.732,1.972,4.9615
4.293,0.461,3.925,4.189,5.9536
4.941,1.207,4.902,0.201,0.9267
3.256,4.505,0.586,3.694,3.7934
2.786,1.252,0.147,3.597,0.4549
2.59,1.797,3.694,2.578,8.6373
0.657,1.539,2.967,0.688,0.7794
0.569,1.247,4.677,3.501,4.4959
3.213,0.885,3.637,1.815,3.8998
1.627,3.89,3.528,2.806,9.9868
3.792,2.218,2.828,4.649,16.3323
4.808,1.658,0.201,0.336,0.1317
1.732,4.395,1.788,0.713,1.4589
2.602,3.475,4.62,2.1,12.817
4.653,4.56,3.777,0.756,6.1122
0.017,4.768,0.087,1.538,0.0563
2.272,3.21,4.435,1.737,9.015
1.395,4.87,1.852,0.148,0.3473
0.371,4.505,0.636,2.554,0.5332
2.49,1.729,2.275,1.461,2.9079
2.787,0.483,2.966,3.643,3.6656
4.158,2.584,0.316,3.876,1.8256
3.444,3.738,1.601,3.594,9.3614
0.81,3.207,2.62,0.688,1.0548
4.948,0.453,1.782,3.25,2.1437
3.036,4.644,0.369,4.902,3.0984
2.775,3.349,3.699,0.664,3.3773
3.649,0.576,1.761,0.09,0.134
0.036,3.876,0.159,3.172,0.0817
1.338,3.112,3.647,1.824,5.3525
4.961,3.681,4.23,1.936,15.9121
0.252,0.5,4.019,4.972,1.6962
1.918,3.835,0.987,3.95,4.4481
3.688,4.525,3.722,0.657,4.619
4.792,0.299,2.799,3.066,2.1454
4.765,3.795,2.601,0.784,4.0099
4.209,2.475,4.119,4.252,24.4534
2.953,4.251,1.303,3.061,6.3146
0.223,2.251,4.798,0.539,0.4928
1.848,0.647,1.661,3.132,1.985
4.971,0.456,3.326,4.069,5.0086
2.012,4.989,0.179,3.201,0.8104
3.275,0.037,3.448,2.82,0.3461
2.225,0.576,2.026,1.081,0.8473
3.572,2.169,2.082,2.079,5.1831
4.638,0.895,1.294,0.354,0.3544
4.62,1.964,3.761,1.093,5.1461
3.107,1.726,3.62,3.971,13.7768
0.555,1.022,4.662,4.589,5.2031
1.067,0.078,3.658,0.626,0.1548
0.826,3.807,3.029,2.649,4.7023
4.656,0.372,3.895,3.243,3.8534
2.626,0.334,0.3,4.747,0.3962
0.021,4.446,1.996,2.381,0.1724
4.498,2.946,3.697,1.201,7.1896
4.906,2.719,2.801,2.005,8.9732
1.133,1.631,4.379,1.922,4.4389
0.26,2.121,2.309,1.249,0.5979
3.795,4.405,0.745,4.699,6.593
1.822,2.385,1.113,1.317,1.3588
3.621,3.406,1.887,2.452,7.3477
0.942,3.944,2.775,1.813,3.3724
4.069,2.457,1.91,2.411,6.3759
2.415,3.15,0.135,3.436,0.6331
4.354,4.622,4.636,4.148,39.6801
1.344,1.758,3.66,4.346,9.6828
0.591,2.731,0.387,4.352,0.7254
0.082,2.855,2.105,3.507,0.5274
0.883,3.514,4.965,3.265,9.7376
1.743,2.497,1.157,1.196,1.267
2.625,0.974,0.849,2.318,1.2083
2.595,0.535,1.83,2.426,1.6384
0.038,3.489,4.92,3.82,0.6489
3.494,3.284,1.328,3.692,7.5169
0.304,0.907,0.905,3.111,0.4576
4.414,0.172,1.352,4.864,1.0266
2.951,4.167,1.138,0.467,0.9181
2.619,4.034,1.573,1.658,3.791
2.07,4.836,1.346,0.724,1.3644
3.242,0.65,0.695,2.691,0.9255
4.964,1.854,1.926,2.325,5.5054
2.433,0.304,3.29,3.925,2.7543
1.641,1.948,4.801,0.544,1.9784
1.995,2.796,3.989,0.276,1.1841
2.532,0.014,4.268,1.443,0.1504
2.026,0.359,0.659,4.419,0.753
4.758,0.455,3.653,4.867,6.4844
3.608,0.601,1.515,4.403,2.9423
0.485,1.505,4.739,0.818,1.0821
3.626,1.7,1.714,4.711,8.1847
2.175,1.013,4.327,0.283,0.756
2.352,4.986,4.47,2.786,18.0282
4.258,0.662,4.568,3.144,7.1718
3.159,3.53,4.124,0.117,0.7856
1.65,0.088,1.307,3.703,0.3342
1.577,4.719,0.5,1.413,0.8355
2.942,4.494,0.33,2.708,1.5266
4.537,2.907,4.36,2.727,19.1039
2.902,3.195,0.5,0.103,0.1277
4.066,0.349,4.293,2.212,2.6664
0.271,3.557,3.004,4.108,2.6286
4.487,3.543,0.173,0.95,0.3594
0.779,4.167,2.793,1.259,2.0761
2.404,3.257,3.788,3.771,17.3955
1.902,4.301,4.372,2.712,13.915
0.948,2.511,2.537,1.459,2.119
3.119,2.897,4.928,1.042,6.8685
3.049,3.193,3.784,4.083,21.4238
3.602,0.926,1.015,3.038,1.9964
4.355,1.327,4.505,0.625,2.5909
1.034,0.202,1.034,4.043,0.4882
4.019,3.903,0.012,0.575,0.086
1.195,1.058,2.359,2.467,2.5047
2.338,4.147,0.624,3.807,3.23
0.608,4.754,4.451,0.603,1.3561
2.373,2.702,2.948,3.884,12.577
4.381,0.783,0.54,3.96,1.2802
4.644,2.059,1.856,2.119,5.0672
1.243,3.233,0.679,2.521,1.3864
3.894,1.112,1.933,3.124,4.5755
2.783,0.836,1.042,2.715,1.586
1.327,3.718,2.153,2.505,4.649
2.129,1.126,3.586,0.005,0.0847
3.67,4.914,1.382,1.624,4.3935
3.844,1.999,4.362,2.921,14.7897
3.496,3.784,4.123,3.262,22.0975
4.585,2.856,3.213,1.652,8.519
2.467,3.237,2.135,3.382,8.9442
3.416,3.995,0.178,2.037,0.6538
2.182,1.926,2.458,3.352,7.1431
4.24,1.147,4.799,0.504,1.9839
0.089,2.519,2.25,1.7,0.3155
1.163,3.433,1.758,1.267,1.7028
2.102,1.351,0.036,0.118,0.0782
3.306,1.806,4.88,0.487,2.4716
3.134,2.485,2.777,2.759,9.3886
4.128,2.596,4.59,2.156,14.1869
3.386,2.112,2.883,1.261,4.2161
4.412,1.344,1.573,3.769,5.4391
0.819,2.463,0.317,3.091,0.5595
3.085,2.122,4.472,0.473,2.4035
0.549,0.663,1.402,3.192,0.9081
3.744,1.103,2.408,0.835,1.5648
3.803,2.68,4.412,1.205,7.4979
2.522,1.874,1.542,4.806,6.8026
4.267,3.411,1.553,4.113,11.0551
2.467,2.815,4.304,1.333,6.6028
2.17,1.373,4.053,4.847,13.5535
1.378,0.54,2.99,3.543,2.9534
2.738,3.235,0.903,1.441,1.7743
1.673,1.762,1.564,4.983,5.4905
0.006,4.839,3.87,1.611,0.1243
2.881,0.776,3.421,0.157,0.3592
0.695,4.218,0.709,4.429,1.7112
2.328,4.964,3.995,3.093,17.7158
0.225,3.783,1.79,1.909,0.662
3.102,2.916,3.13,2.968,12.4
0.352,1.069,1.469,4.1,1.0763
2.961,3.061,3.501,2.486,11.6324
4.582,0.56,1.202,4.525,2.4021
4.089,1.564,0.737,1.806,1.4134
4.834,0.969,0.603,3.849,1.7153
4.077,0.811,3.775,4.88,10.7873
0.041,3.186,1.952,1.227,0.1554
3.68,0.613,2.953,0.244,0.3988
0.895,1.836,2.195,0.322,0.3865
4.529,2.381,3.936,1.016,5.659
3.911,3.222,0.682,3.187,3.5386
0.362,3.473,0.434,3.328,0.4452
3.96,2.229,4.957,0.432,2.7756
1.328,3.851,3.226,0.09,0.333
1.43,0.885,2.338,3.193,3.1318
2.787,1.574,4.974,1.963,8.3853
4.795,4.382,0.842,1.628,2.9524
0.637,1.597,0.128,1.274,0.1058
0.721,2.002,0.877,3.865,1.4442
4.794,0.434,4.513,1.396,2.2249
3.348,3.103,2.987,3.76,16.1434
3.917,1.486,0.514,0.379,0.2472
1.284,2.667,3.474,3.395,8.5943
3.056,3.826,3.694,2.452,13.8733
1.562,4.528,2.884,2.171,6.5098
4.475,0.04,0.675,0.963,0.0757
3.452,3.7,3.781,1.511,9.2408
0.713,2.868,3.964,0.452,0.9249
3.206,4.946,2.984,2.857,15.1834
0.893,0.012,2.35,0.414,0.0843
2.479,3.284,1.024,4.674,6.0297
1.585,3.05,3.439,2.985,9.2177
0.015,1.201,2.122,1.814,0.1076
