x1,x2,x3,y
26.55,43.53,9.91,7.2505
22.91,36.62,22.62,6.3044
9.71,12.67,45.36,2.8416
17.36,32.23,10.65,4.5434
5.29,14.29,10.45,1.2216
37.79,25.04,37.09,13.0111
1.54,24.99,15.5,0.1548
4.71,23.47,22.77,0.8755
9.75,2.34,3.66,3.8801
15,33.2,3.12,3.7277
12.22,24.57,49.57,3.139
10.1,48.55,34.7,1.8621
25.85,8.47,48.8,9.9774
9.97,21.84,42.37,2.4799
31.32,5.36,47.78,12.8683
12.53,11.01,7.08,4.0615
17.91,25.26,14.4,5.1053
8.85,5.27,44.29,3.1329
43.96,39.08,49.28,14.2004
13.88,28.89,23.04,3.493
12.96,9.05,37.57,4.4084
12.86,23.2,25.56,3.402
15.21,47.14,41.49,3.3476
23.31,6.6,47.61,9.1526
35.17,1.76,33.39,15.2287
22.69,12.72,39.4,8.0896
24.42,22.46,19.5,7.8105
41.65,6.79,37.1,17.1487
40.21,2.79,4.3,17.2855
22.89,30.04,35.01,6.6978
49.66,1.36,45.47,21.7773
45.72,22.27,48.41,16.6772
49.6,40.88,49.49,16.3359
16.18,22.49,16.9,4.6499
2.01,35.47,7.92,0.1868
22.77,47.82,48.49,5.7556
35.11,45.99,24.22,10.2536
7.9,0.31,4.26,3.463
10.03,13.56,31.22,2.8957
4.82,2.11,23.64,1.7759
3.15,21.18,49.25,0.5036
40.34,8.56,40.36,16.2685
4.05,33.45,34.87,0.6113
3.03,49.57,38.96,0.3231
29.09,14.47,20.19,10.5518
27.13,49,1.95,7.1955
0.59,23.84,42.91,0.0507
42.09,22.25,47.65,15.1149
41.69,40.74,16.87,13.1526
37.63,1.93,8.55,16.3156
