x1,x2,x3,x4,x5,y
26.34,16.06,13.46,22.83,34.94,2.032
23.66,2.2,24.21,12.53,16.91,0.2664
34.91,32.04,36.94,47.01,34.3,0.2811
25.23,37.81,3.39,26.94,45.24,0.2705
34.55,6.55,16.49,6.8,29.34,0.1567
4.9,42.4,49.02,25.61,27.72,0.0783
32.34,30.26,44.29,20.21,8.31,0.0436
16.18,46.74,43.36,24.82,32.82,0.0651
25.66,49.43,11.17,1.05,1.14,-0.0199
40.61,8.67,38.66,13.54,6.54,-0.002
14.24,4.28,38.83,23.22,16.54,0.1312
43.78,46.27,38.61,38.88,40.55,0.1493
33.12,22.07,35.77,3.36,20.92,-0.0012
32.35,26.17,5.42,19.75,31.13,0.2231
7.4,18.73,46.43,49.64,47.84,0.4084
19.16,42.13,18.37,17.65,23.44,0.0992
41.96,25.65,25.51,36.7,38.38,0.3463
15.88,31.56,22.05,5.86,48.37,0.1067
21.96,20.4,32.14,29.48,26.07,0.3988
35.32,40.09,15.01,41.04,21.21,0.1327
12.42,2.76,0.86,41.12,41.82,1.1301
47.91,7.02,42.26,3.72,34.45,0.0367
7.7,20.07,8.85,22.54,27.42,0.4155
49.28,6.54,17.24,36.36,38.95,0.304
44.03,8.23,21.63,43.8,8.21,0.0952
8.63,42.55,11.69,20.62,20.81,0.0915
1.05,27.29,11.59,40.08,38.28,0.4582
29.81,7.28,14.01,47.61,43.23,3.9448
30.44,33.04,6.52,7.18,43.95,0.0687
19.68,26.2,19.63,47.55,35.56,1.2108
12.66,38.44,37.51,44.46,3.81,0.0347
20.81,24.46,28.94,7.83,23.96,0.0929
4.82,31.41,18.43,5.19,16.18,0.034
27.91,12.59,41.25,20.67,10.71,0.0384
5.66,27.78,1.41,27.02,17.08,0.1407
20.32,1.52,45.42,14.59,21.83,0.0439
25.87,0.91,15.33,27.74,24.78,1.1831
4.67,19.51,20.54,35.8,4.84,0.0873
14.46,41.73,6.97,14,48.86,0.1341
25.16,16.4,22.36,8.61,21.36,0.3221
4.53,15.82,16.73,13.12,14.95,0.132
10.73,2.54,43.84,16.16,41.51,0.1378
4.26,46.22,33.52,0.64,18.04,0.0112
41.19,32.77,0.52,5.47,9.61,-0.0011
21.23,13.53,35.83,8.75,30.45,0.109
26.91,7.98,4.01,33.13,13.28,0.4898
21.13,27.17,38.52,13.38,2.63,0.0283
9.13,29.47,49.47,30.53,0.47,-0.0083
33.8,34.1,27.3,9.89,7.44,-0.004
0.21,3.75,5.19,30.19,1.32,0.0051
32.74,44.11,25.6,0.21,41.48,0.0112
46.14,7.95,5.23,6.85,24.63,0.0231
26.02,12.9,0.62,26.54,8.94,0.1887
5.64,38.47,8.23,49.96,10.67,0.1003
9.7,36.94,28.3,49.11,26.5,0.278
2.91,28.01,48.42,46.34,35.13,0.1778
46.77,26.49,49.11,28.47,49.93,0.1521
23.68,28.72,16.72,14.4,21.1,0.1856
47.55,35.75,9.29,34.62,35.64,0.1896
36.41,21.5,23.19,44,28.56,0.5563
39.82,41.45,44.52,18.38,13.11,0.0114
33.34,24.29,3.65,8.1,3.64,0.0015
29.34,23.84,25.43,42.57,6.35,0.1295
48.29,34.24,46.64,25.3,31.87,0.0475
14.23,16.51,47.33,33.14,5.2,0.0407
