x1,x2,x3,y
2.77,3.007,3.408,5.8121
1.69,4.846,1.684,5.3834
4.139,4.52,0.81,3.4803
4.097,4.279,2.49,8.0058
3.584,3.3,1.768,5.4116
2.632,2.253,3.282,4.9355
2.59,4.494,0.651,2.9866
2.665,3.485,2.04,5.3396
0.893,2.315,1.198,2.2521
1.946,2.428,4.511,3.4688
0.451,4.907,0.884,4.7229
4.745,3.934,2.474,8.2574
2.236,3.285,0.596,1.9914
3.791,2.964,2.328,6.3029
0.828,4.335,4.627,4.5592
0.027,3.37,3.99,3.4385
1.834,2.867,0.974,2.4491
0.182,0.737,0.099,0.6217
2.105,2.746,1.957,4.1306
2.15,4.287,0.544,2.7405
2.78,2.075,0.145,0.8502
3.181,2.845,2.29,5.5593
0.132,2.439,4.596,2.5378
0.89,4.868,4.533,5.1659
4.229,2.223,2.412,6.1435
2.077,2.54,4.152,4.1373
0.413,3.978,0.601,3.7272
4.351,4.921,1.485,6.3671
3.581,0.86,3.256,4.5221
0.582,0.17,1.41,0.6735
0.291,2.13,4.046,2.4027
1.148,1.818,4.743,2.1926
3.671,2.709,4.02,5.8849
4.011,4.115,4.949,5.1135
1.141,1.806,4.716,2.2095
2.595,1.432,0.159,1.2645
4.955,0.602,1.599,5.0813
1.477,1.727,0.506,0.9165
0.549,3.995,2.79,4.6117
4.895,4.075,0.773,3.5418
2.701,1.418,3.129,4.1924
3.07,0.262,3.35,3.3885
4.507,1.703,3.531,6.1851
1.328,0.434,1.507,1.4658
4.171,2.023,0.671,2.9337
2.052,2.822,2.977,4.9183
4.599,0.888,1.97,5.0878
4.433,2.511,3.852,6.6147
0.816,0.206,0.901,0.7613
2.04,4.291,2.792,6.3018
0.186,1.403,2.6,1.6506
3.201,4.556,0.549,2.5634
0.454,0.614,4.797,0.8111
4.195,2.274,4.799,4.6918
0.593,2.928,4.056,3.3747
0.261,4.011,0.287,3.8555
4.466,0.696,2.326,5.0649
4.412,3.031,4.289,6.3666
2.301,0.909,3.808,3.1572
4.068,2.442,2.381,6.1699
4.978,1.631,2.132,6.0931
0.5,2.419,4.526,2.6243
1.13,2.498,2.846,3.6831
1.087,1.479,1.466,1.8272
2.053,4.277,1.222,4.1256
4.38,1.826,1.435,4.5961
4.431,2.488,0.368,2.3691
2.986,3.753,2.179,6.0443
0.874,0.096,4.656,0.9708
4.262,4.109,3.289,8.4146
3.267,4.251,3.466,7.5099
3.819,3.832,3.851,7.2527
3.934,2.102,0.234,2.0306
1.841,4.534,0.4,3.0227
4.608,0.674,1.819,4.8956
2.215,4.163,0.195,2.1145
3.223,0.794,3.181,4.1112
4.478,1.711,4.8,4.7225
3.512,0.1,2.372,3.669
3.568,1.003,3.987,4.3992
2.417,0.093,0.837,2.4339
2.394,3.532,4.935,3.8754
0.317,2.264,4.03,2.529
2.219,0.364,1.761,2.4056
4.062,3.28,2.344,6.8587
0.851,3.107,0.347,2.395
2.825,4.229,2.345,6.6178
3.649,3.942,3.492,7.5515
1.764,3.934,3.332,5.7261
2.343,4.708,1.367,4.8677
3.495,1.324,4.199,4.4025
1.663,0.063,2.287,1.7848
2.378,1.87,0.611,1.4597
3.784,4.697,3.797,8.1127
1.622,3.084,2.496,4.5526
0.58,4.613,4.067,5.0629
3.192,4.076,1.85,5.9239
3.694,2.47,3.601,6.1078
0.533,4.183,0.849,3.95
2.418,1.982,2.26,4.0637
