x,y
1.4629,1.4174
2.57,2.2811
1.5829,1.5191
5.9943,3.7629
5.5157,3.6276
3.0086,2.544
4.7843,3.355
2.9543,2.5132
0.0229,-0.2866
0.5786,0.3953
3.9,2.9956
5.3843,3.5734
2.5571,2.2672
5.34,3.5687
4.4814,3.2342
1.8771,1.7851
0.3314,0.0666
4.9157,3.4157
1.9443,1.845
6.9929,4.0617
1.9086,1.8182
0.2414,-0.0541
4.0371,3.0502
1.6957,1.636
5.4429,3.5922
4.27,3.1568
5.5486,3.6316
1.0257,0.9591
4.8557,3.3862
3.6214,2.8644
0.9657,0.8921
6.1614,3.8289
5.3914,3.5882
4.6071,3.2954
6.4986,3.9159
5.1186,3.474
5.6914,3.6712
6.4814,3.9265
5.7671,3.6981
0.7043,0.5543
3.5271,2.8176
1.9386,1.8252
4.8729,3.4018
1.3971,1.3459
3.7657,2.9373
4.8243,3.3705
3.9729,3.0256
3.7671,2.9356
7.14,4.1006
5.0914,3.4664
