x1,x2,x3,x4,x5,y
0.09,15.78,16.06,38.13,21.96,15.2137
22.91,45.08,46.38,35.83,13.38,1.3792
19.35,25.4,6.72,47.66,30.4,1.3356
44.72,25.52,23.34,46.5,19.47,1.1093
8.82,41.31,15.38,29.65,12.43,1.9956
27.35,3.23,46.88,49.68,15.42,1.5012
13.14,32.88,10.52,28.57,6.98,1.7926
39.03,25.3,10.73,36.24,9.52,1.1601
2.95,49.11,30.38,48.64,9.65,5.1371
48.93,11.23,28.21,29.52,25.19,0.3976
36.3,39.12,31.08,39.49,34.06,0.5465
47.4,42.06,47.76,43.92,4.78,1.2749
13.05,47.48,35.49,48.08,1.52,2.6706
6.74,29.51,12.04,3.95,2.47,0.6699
47.75,21.25,22.45,44.91,40.43,0.4526
32.87,22.68,30.27,18.23,8.66,0.762
46.84,22.41,24.81,41.07,13.88,1.0572
30.48,6.11,17.2,42.25,2.89,1.5944
48.52,2.6,20.25,43.63,42.9,0.0458
49.13,41.91,5.88,31.4,25.71,0.4713
46.35,37.42,1.79,46.4,35.04,0.7001
