x,y
2.6125,0.3215
4.68,-1.6378
0.3363,0.9467
1.4562,1.1737
6.2063,-0.9228
5.92,-1.1676
5.8113,-1.2574
3.0712,-0.2334
2.4425,0.5081
1.9688,0.9265
2.1037,0.8246
3.59,-0.8646
2.97,-0.1101
5.54,-1.4461
6.0375,-1.0695
4.8337,-1.6579
2.6975,0.2211
5.3025,-1.5682
2.8212,0.0732
0.22,0.8872
5.9963,-1.1036
2.3363,0.6138
1.3513,1.1931
1.2663,1.199
1.74,1.0692
4.81,-1.6549
0.8587,1.1601
3.5425,-0.8067
5.9225,-1.1648
5.8387,-1.2351
0.12,0.8349
4.5788,-1.6142
3.0925,-0.2648
0.81,1.1461
5.5062,-1.4656
4.98,-1.6548
5.3812,-1.5296
0.4112,0.9832
0.3475,0.9543
5.2362,-1.5929
4.1025,-1.3551
1.8525,1.0028
0.645,1.087
4.4875,-1.5809
1.4225,1.1782
5.8025,-1.2605
3.3375,-0.5633
1.2525,1.1995
3.3725,-0.608
4.0188,-1.287
