x1,x2,y
0.396,-104.2077
4.85,384.0482
3.555,5.3196
0.281,-164.0879
3.08,-22.6067
1.345,-72.0386
1.752,-373.9659
1.908,-471.9597
3.375,46.9568
4.861,487.8948
0.197,-5.3807
3.232,-61.1772
4.025,201.4965
4.925,61.7659
3.48,90.5402
4.199,249.0456
1.895,-187.8692
4.833,114.2178
0.507,-70.3343
2.724,-221.3009
3.716,-10.0959
2.292,-10.6243
4.038,-166.5709
1.768,-156.3818
2.856,-8.2322
0.055,-59.4407
0.818,0.4828
2.709,-289.1553
2.848,42.3628
4.471,309.0846
3.661,142.4185
1.024,-103.4182
4.602,389.8367
1.05,-180.0899
3.04,-409.6225
1.54,3.7302
0.522,-161.1068
2.474,15.6856
2.031,-65.583
1.785,5.6292
4.979,531.7644
0.66,4.0293
4.671,355.5459
3.188,69.5068
1.829,-177.2975
0.789,2.2506
4.073,-176.4308
1.156,0.359
0.952,-163.6959
1.435,-34.396
2.868,31.9762
1.281,2.8464
1.998,-278.9675
1.176,1.3344
4.804,280.4013
0.215,-56.6745
4.79,462.6983
3.342,10.6028
2.583,28.3976
0.945,-172.8549
2.113,4.632
1.779,-5.9088
3.255,-7.4591
3.518,-155.1541
1.806,-308.7291
1.778,-3.7914
3.76,-300.9098
3.461,52.7268
1.389,2.5656
1.552,-401.9906
0.441,-42.1322
1.412,-335.6332
4.666,-72.3778
0.906,-166.8019
2.595,10.5246
3.742,83.0524
1.006,-24.4707
4.993,457.3913
1.411,-160.6296
0.163,-22.5791
4.258,275.6294
2.29,-377.633
1.857,-171.9962
0.61,-335.9904
4.51,356.8021
2.193,-315.0215
1.346,3.0264
4.893,42.132
2.123,-219.0188
3.857,-264.4615
0.272,-233.3043
4.896,373.6465
4.779,315.4694
4.198,-208.425
0.725,-311.9846
0.335,-427.6572
4.451,305.3799
4.162,253.2232
0.975,-484.7795
0.344,-405.3797
2.546,-279.5564
3.684,140.271
4.556,347.5615
4.397,4.4244
2.634,-273.4955
1.964,8.5056
4.015,216.5572
2.337,-61.6066
1.488,-26.4826
0.942,-4.2428
0.667,-410.9382
4.535,60.2343
0.388,-455.9393
1.128,-206.7189
2.929,43.9408
4.424,266.3706
4.875,472.2392
0.174,-444.5847
2.057,-13.8767
1.948,-335.51
2.434,-28.5182
0.82,-85.6131
0.376,-163.5235
2.672,-1.0433
3.784,102.7786
1.111,-55.2424
3.314,61.9933
3.578,-56.5536
4.744,444.0205
1.03,-29.7342
2.835,32.1369
2.818,-80.5817
1.874,-330.9073
0.93,-417.8013
1.091,2.1342
1.922,-201.6127
1.342,-47.8047
3.404,77.3941
4.366,311.3228
0.246,2.1623
1.724,-10.3777
1.496,-154.1015
3.653,25.8595
2.662,-69.6235
2.681,-10.0642
2.38,-420.1972
4.43,278.6685
2.765,-85.9886
2.733,26.0102
1.906,-308.17
4.473,316.3348
0.104,-87.0808
0.567,4.3407
1.648,-28.9537
4.774,87.5486
1.208,-96.8588
0.585,-21.1183
1.353,-7.8141
4.903,507.3668
0.427,-402.3892
4.658,410.7947
0.918,-101.9013
0.381,4.718
2.838,44.242
3.27,82.2302
2.301,-95.1571
0.901,-180.6964
2.752,-370.9257
0.52,-169.9186
2.996,58.8463
4.474,323.8878
2.57,25.8326
3.677,140.5794
3.968,-42.1229
3.821,161.2918
3.016,-120.2279
4.244,-64.4038
1.181,-11.2715
2.596,-130.2917
2.004,0.8533
3.739,-0.5759
1.126,-376.874
0.269,-360.5254
0.662,-449.5484
3.631,-129.2863
1.967,-197.6158
0.739,-250.2327
1.271,-73.9406
0.153,-16.8712
3.215,71.0376
1.016,-386.8209
3.141,21.0908
0.933,3.3564
3.061,20.8594
2.542,0.2657
3.689,107.7358
1.648,-410.3044
3.762,-144.7215
3.981,203.034
3.227,54.3517
