x,y
5.2443,3.5374
1.6914,1.6254
1.7186,1.6539
1.3757,1.3247
6.9343,4.0474
3.7829,2.9386
0.8257,0.7149
6.5014,3.9275
1.7429,1.6796
5.5857,3.6331
2.49,2.2323
6.5986,3.9448
6.1071,3.8007
0.2714,-0.0061
5.9086,3.7377
1.7971,1.7166
6.0857,3.804
4.5186,3.2587
2.4357,2.2049
0.5986,0.4221
1.6457,1.5829
1.5757,1.525
2.2457,2.0658
0.6757,0.5261
4.9843,3.4268
6.2143,3.8414
0.7157,0.5855
5.8186,3.7277
7.1329,4.1033
1.5286,1.4742
5.9914,3.7753
0.4743,0.2512
5.7457,3.6988
4.7886,3.3612
6.2586,3.8555
3.3057,2.7138
1.1714,1.1272
5.1314,3.4884
5.3457,3.5606
6.9086,4.0365
3.6914,2.8988
1.73,1.6679
5.1771,3.4969
3.6886,2.8927
1.9329,1.8344
6.6771,3.98
6.5443,3.9315
5.05,3.4555
6.7014,3.9786
5.4571,3.5949
6.7471,3.988
3.8743,2.9785
6.0029,3.7691
3.5929,2.856
1.26,1.2064
1.7443,1.6627
2.63,2.3288
2.2929,2.1057
3.6829,2.8991
0.89,0.7958
5.7871,3.7066
3.1314,2.6121
5.4514,3.601
3.7329,2.914
5.2886,3.5466
6.0229,3.7799
3.8257,2.9551
5.7214,3.6849
6.9257,4.0455
0.5014,0.2991
5.34,3.556
2.9171,2.5014
0.4243,0.1899
0.3086,0.0318
4.6971,3.3343
0.0057,-0.3145
2.8414,2.4581
6.99,4.0589
3.39,2.7462
4.4886,3.2464
5.9914,3.7678
2.5229,2.2603
3.7757,2.9466
7.0186,4.0714
6.4429,3.9157
6.6586,3.9648
0.0129,-0.3106
5.0514,3.4664
3.8443,2.9718
6.1586,3.8189
1.6114,1.5509
5.51,3.618
3.2443,2.6709
5.8929,3.7366
3.8271,2.9704
6.4643,3.9189
0.0129,-0.3013
1.8186,1.744
4.9571,3.4308
0.6914,0.5446
4.4914,3.2382
4.3971,3.2186
6.2129,3.8348
1.1043,1.0363
6.3843,3.8959
5.3314,3.5639
1.3229,1.2766
2.3514,2.1428
0.2914,0.0145
1.8757,1.775
5.8729,3.73
7.1371,4.0889
0.9886,0.9068
0.17,-0.1336
4.9514,3.4267
2.9914,2.5321
5.5843,3.6503
4.74,3.353
4.8043,3.3629
3.7829,2.9481
2.5386,2.2587
1.2871,1.2375
2.8057,2.4195
5.9443,3.7559
6.1386,3.8219
4.2271,3.1469
4.29,3.1589
2.3029,2.1025
2.1314,1.9899
4.6657,3.3127
0.5529,0.3706
3.4986,2.8051
4.5229,3.2562
4.5329,3.2666
0.8714,0.771
2.6929,2.3572
2.0914,1.9452
1.1671,1.1226
4.2529,3.1503
5.0286,3.4518
1.8057,1.7322
0.9229,0.844
3.7714,2.9371
0.3771,0.1386
4.8014,3.3588
4.6457,3.3056
2.0643,1.9294
0.8286,0.713
0.6843,0.5421
0.7329,0.5942
2.29,2.0979
0.0514,-0.2665
1.5486,1.4912
1.51,1.4558
3.0771,2.5914
4.5271,3.266
1.46,1.4044
1.4757,1.4369
4.6571,3.3041
0.9514,0.8635
4.2186,3.1443
0.2743,-0.0039
4.7229,3.3428
2.64,2.3227
5.1671,3.5081
4.6957,3.3207
5.4371,3.5928
3.5443,2.8301
5.5629,3.6262
2.54,2.2566
3.0471,2.5666
4.1214,3.0912
2.4129,2.1712
1.2243,1.1663
2.9371,2.5134
1.9471,1.8439
3.7514,2.9257
2.5471,2.262
2.9786,2.535
4.2043,3.1211
5.0729,3.4676
6.4586,3.9058
2.3386,2.1303
4.8986,3.4117
5.5029,3.6245
1.0171,0.9383
0.0157,-0.3041
5.3843,3.5751
6.5571,3.9469
2.7643,2.4079
4.5329,3.271
6.7529,3.9882
0.63,0.4635
4.7086,3.3276
4.7914,3.3555
2.6857,2.361
6.3643,3.8884
3.3171,2.7166
2.0986,1.9612
1.31,1.263
