x,y
2.6125,0.3215
4.68,-1.6378
0.3363,0.9467
1.4562,1.1737
6.2063,-0.9228
5.92,-1.1676
5.8113,-1.2574
3.0712,-0.2334
2.4425,0.5081
1.9688,0.9265
2.1037,0.8246
3.59,-0.8646
2.97,-0.1101
5.54,-1.4461
6.0375,-1.0695
4.8337,-1.6579
2.6975,0.2211
5.3025,-1.5682
2.8212,0.0732
0.22,0.8872
5.9963,-1.1036
2.3363,0.6138
1.3513,1.1931
1.2663,1.199
1.74,1.0692
4.81,-1.6549
0.8587,1.1601
3.5425,-0.8067
5.9225,-1.1648
5.8387,-1.2351
0.12,0.8349
4.5788,-1.6142
3.0925,-0.2648
0.81,1.1461
5.5062,-1.4656
4.98,-1.6548
5.3812,-1.5296
0.4112,0.9832
0.3475,0.9543
5.2362,-1.5929
4.1025,-1.3551
1.8525,1.0028
0.645,1.087
4.4875,-1.5809
1.4225,1.1782
5.8025,-1.2605
3.3375,-0.5633
1.2525,1.1995
3.3725,-0.608
4.0188,-1.287
2.1688,0.7699
2.34,0.6138
5.4288,-1.5093
0.1875,0.8674
2.365,0.5847
2.4887,0.4573
1.9262,0.9586
1.4662,1.1679
2.905,-0.028
3.4337,-0.6796
0.545,1.0458
5.72,-1.3254
2.605,0.3302
3.7,-0.9823
4.3825,-1.5329
3.2287,-0.4322
5.0413,-1.6454
2.8312,0.0637
5.3463,-1.546
5.325,-1.5552
3.5475,-0.8139
1.3325,1.1933
1.3787,1.1882
0.0088,0.7739
2.54,0.4004
2.5612,0.3802
0.01,0.7711
3.2462,-0.452
0.1713,0.8596
4.07,-1.3319
1.9875,0.9133
5.98,-1.1194
1.065,1.1968
3.41,-0.6532
2.4875,0.4603
4.345,-1.5166
2.87,0.0145
5.8787,-1.2043
3.6463,-0.9266
0.5788,1.0602
0.405,0.9831
2.9762,-0.1158
0.9287,1.1757
5.895,-1.1899
1.1187,1.2033
2.81,0.0894
5.8212,-1.2454
1.5525,1.1456
1.8887,0.981
6.2087,-0.9196
4.85,-1.6606
1.8813,0.9852
2.145,0.7911
3.5387,-0.8032
4.935,-1.6594
0.51,1.0293
3.315,-0.5398
4.7125,-1.6484
2.56,0.3818
6.045,-1.0632
0.8562,1.1557
2.4175,0.5338
1.785,1.0437
4.7125,-1.648
0.1163,0.8324
6.0363,-1.0719
6.0763,-1.035
6.1825,-0.9424
6.01,-1.0916
2.5213,0.4205
2.7188,0.1984
3.875,-1.1585
5.29,-1.5737
0.4775,1.0146
2.305,0.6482
5.94,-1.1543
3.8812,-1.1647
1.1938,1.2018
2.0525,0.867
5.7137,-1.3298
0.56,1.0524
2.8763,0.0083
4.2038,-1.4286
4.1112,-1.3626
3.19,-0.3838
0.5913,1.0688
1.995,0.9092
2.7375,0.1727
0.0575,0.7974
0.6575,1.0922
1.9612,0.9348
5.185,-1.6118
5.02,-1.6477
5.7375,-1.3089
1.3162,1.1988
1.55,1.1483
1.4887,1.1634
1.8875,0.9851
1.6638,1.1026
4.8913,-1.6596
3.99,-1.2618
3.8112,-1.0972
2.7762,0.13
2.1463,0.7887
6.055,-1.0557
2.0612,0.8611
1.47,1.1701
0.7487,1.126
1.93,0.954
5.95,-1.1433
1.7888,1.0424
2.2037,0.7381
0.8775,1.1638
0.9063,1.1695
5.2813,-1.5752
2.61,0.3231
2.7963,0.1016
1.5438,1.1474
0.0975,0.8198
1.3887,1.1869
3.9213,-1.2031
0.425,0.9921
5.1663,-1.6157
5.7125,-1.3294
1.3513,1.1936
0.0325,0.7841
0.6988,1.1083
5.6438,-1.3765
2.66,0.2641
2.9437,-0.0761
1.2775,1.1999
1.22,1.2028
3.0787,-0.2433
3.955,-1.2311
2.7625,0.1423
0.2425,0.899
5.2562,-1.5875
2.91,-0.0348
3.0313,-0.1868
5.5225,-1.4553
0.3575,0.9579
0.74,1.1222
2.8,0.0968
4.0788,-1.3362
4.2275,-1.4465
3.6875,-0.9674
5.2688,-1.5811
2.035,0.881
4.8875,-1.6571
4.5087,-1.5886
