x1,x2,x3,x4,y
0.26,1.633,1.086,0.753,1.334
3.083,4.236,0.766,4.864,80.3196
4.387,2.276,2.474,1.769,40.7085
3.063,2.534,0.759,2.507,26.6914
0.913,2.348,1.189,0.275,4.8501
3.572,3.2,4.609,1.397,74.1448
3.647,3.83,2.856,3.478,78.677
4.161,0.313,2.281,4.069,57.2029
0.255,1.322,4.214,0.428,3.9939
2.748,2.379,0.1,2.226,19.8037
3.714,3.467,0.849,3.955,65.8071
2.603,1.195,4.744,0.064,39.227
0.112,0.534,3.077,4.675,3.0013
2.477,2.442,0.966,1.67,16.0916
2.413,0.635,4.063,1.895,31.7132
4.398,2.502,4.88,3.51,114.5994
4.903,2.61,2.323,1.511,45.9439
0.121,3.334,1.398,1.763,2.1972
0.98,3.116,3.143,2.921,17.9226
0.702,4.569,0.917,2.018,11.9901
0.361,2.862,0.476,2.169,3.9861
3.148,4.544,3.332,3.367,83.8333
1.237,3.816,0.374,1.008,13.0288
0.266,2.688,0.719,0.72,2.2178
0.93,4.7,4.316,2.929,28.6087
3.619,4.719,0.44,0.803,52.8273
0.768,2.604,3.587,1.494,11.2459
1.564,2.411,1.761,4.284,27.0358
4.818,3.359,4.682,0.061,99.2694
3.713,1.469,3.118,1.492,33.7933
3.225,3.77,3.132,4.348,85.1356
1.379,2.207,2.834,2.67,17.9544
1.957,4.097,4.657,1.708,50.1145
4.714,3.494,0.025,3.327,68.9328
2.113,0.888,0.874,2.619,12.374
2.923,3.698,3.677,1.439,53.4708
1.328,2.294,2.255,2.262,13.7331
3.127,3.365,2.966,3.775,66.8088
2.667,2.137,1.472,2.239,20.7292
2.752,0.967,4.935,3.76,67.2573
0.411,4.125,0.969,1.008,5.5
3.861,0.599,3.163,0.935,28.5247
2.676,0.359,2.404,0.598,12.1652
2.054,1.66,2.134,2.455,18.0391
0.73,2.724,2.775,3.111,11.7381
1.626,0.857,3.222,3.039,21.3264
4.369,3.437,0.482,2.566,51.9209
4.089,3.884,3.581,1.701,78.3405
4.733,1.012,4.465,2.222,76.7527
2.99,3.404,0.33,4.128,53.5156
