x,y
2.048,1.7765
3.598,2.1724
2.216,1.8133
8.392,3.0848
7.722,2.9909
4.212,2.3102
6.698,2.7983
4.136,2.2935
0.032,1.0527
0.81,1.3745
5.46,2.5708
7.538,2.9495
3.58,2.1626
7.476,2.9492
6.274,2.7177
2.628,1.937
0.464,1.2375
6.882,2.8429
2.722,1.9674
9.79,3.318
2.672,1.9561
0.338,1.1778
5.652,2.6019
2.374,1.873
7.62,2.9626
5.978,2.6712
7.768,2.9919
1.436,1.5942
6.798,2.8206
5.07,2.4919
1.352,1.5701
8.626,3.138
7.548,2.9636
6.45,2.7616
9.098,3.2014
7.166,2.8779
7.968,3.0184
9.074,3.2132
8.074,3.0387
0.986,1.4324
4.938,2.4641
2.714,1.9501
6.822,2.8341
1.956,1.7425
5.272,2.537
6.754,2.8088
5.562,2.5881
5.274,2.535
9.996,3.3492
7.128,2.8734
