x1,x2,x3,y
2.77,3.007,3.408,2.0981
1.69,4.846,1.684,1.4052
4.938,4.097,4.279,3.7348
2.982,3.584,3.3,2.2619
1.469,2.632,2.253,1.1179
3.754,2.59,4.494,2.8357
0.931,2.665,3.485,0.7097
1.842,0.893,2.315,1.3946
0.446,1.946,2.428,0.3417
3.303,0.451,4.907,2.4927
1.129,4.745,3.934,0.8619
4.686,2.236,3.285,3.5394
1.471,3.791,2.964,1.1219
0.948,0.828,4.335,0.7183
2.298,0.027,3.37,1.7338
4.938,1.834,2.867,3.728
3.276,0.182,0.737,2.4737
3.443,2.105,2.746,2.6031
0.994,2.15,4.287,0.7576
4.795,2.78,2.075,3.6449
3.599,3.181,2.845,2.7286
3.037,0.132,2.439,2.2889
2,0.89,4.868,1.5094
3.664,4.229,2.223,2.8181
2.629,2.077,2.54,1.9881
0.909,0.413,3.978,0.6929
1.766,4.351,4.921,1.3407
3.256,1.434,0.582,2.5735
1.41,0.606,0.291,1.096
4.046,1.843,1.148,3.0893
4.743,2.764,3.671,3.5818
4.02,0.407,4.011,3.0286
4.949,1.479,1.141,3.7577
4.716,2.32,2.595,3.5664
0.159,3.808,4.955,0.1292
1.599,2.697,1.477,1.2322
2.369,2.701,1.418,1.8241
3.35,3.823,4.507,2.5347
3.531,3.171,1.328,2.7755
1.507,0.48,4.171,1.1411
0.671,4.25,2.052,0.5248
2.977,3.963,4.599,2.2544
1.97,2.363,4.433,1.4904
