x,y
2.048,1.7765
3.598,2.1724
2.216,1.8133
8.392,3.0848
7.722,2.9909
4.212,2.3102
6.698,2.7983
4.136,2.2935
0.032,1.0527
0.81,1.3745
5.46,2.5708
7.538,2.9495
3.58,2.1626
7.476,2.9492
6.274,2.7177
2.628,1.937
0.464,1.2375
6.882,2.8429
2.722,1.9674
9.79,3.318
2.672,1.9561
0.338,1.1778
5.652,2.6019
2.374,1.873
7.62,2.9626
5.978,2.6712
7.768,2.9919
1.436,1.5942
6.798,2.8206
5.07,2.4919
1.352,1.5701
8.626,3.138
7.548,2.9636
6.45,2.7616
9.098,3.2014
7.166,2.8779
7.968,3.0184
9.074,3.2132
8.074,3.0387
0.986,1.4324
4.938,2.4641
2.714,1.9501
6.822,2.8341
1.956,1.7425
5.272,2.537
6.754,2.8088
5.562,2.5881
5.274,2.535
9.996,3.3492
7.128,2.8734
9.538,3.2735
2.942,2.0152
1.75,1.6789
1.386,1.5691
5.484,2.5782
5.406,2.5575
5.32,2.5522
1.864,1.7254
1.208,1.5214
1.29,1.5406
1.28,1.5356
7.004,2.8628
8.31,3.0804
5.272,2.5266
2.78,1.9745
0.78,1.3544
8.024,3.0255
4.076,2.2773
5.438,2.5659
0.262,1.1628
0.182,1.1159
0.602,1.2948
0.382,1.2113
1.3,1.5504
5.296,2.5431
6.16,2.707
0.386,1.2015
2.326,1.8478
9.788,3.3196
0.85,1.3817
9.156,3.2178
6.292,2.7296
4.316,2.327
2.058,1.7705
3.734,2.2089
0.728,1.3409
5.244,2.5375
1.068,1.4764
0.02,1.0432
5.93,2.6612
9.236,3.2232
7.818,3.0043
1.428,1.5906
1.26,1.5258
0.964,1.4285
3.772,2.2077
0.662,1.3216
9.586,3.2763
3.952,2.2493
2.902,2.0098
4.616,2.3969
9.838,3.3194
4.536,2.3886
0.83,1.3794
2.41,1.8683
7.692,2.979
8.96,3.1942
2.052,1.7796
6.53,2.7655
4.378,2.3547
3.592,2.1629
5.326,2.5419
7.114,2.8775
3.618,2.1724
8.254,3.0706
7.164,2.8865
9.352,3.2476
6.676,2.7943
2.696,1.9483
3.446,2.1393
4.014,2.2679
5.552,2.5825
6.18,2.7122
9.174,3.2238
1.098,1.4782
4.278,2.3275
0.204,1.1185
6.34,2.7455
6.614,2.7916
8.368,3.085
4.328,2.3448
9.924,3.333
2.484,1.8961
2.36,1.8702
5.15,2.5072
2.008,1.7667
9.568,3.2905
5.51,2.5888
8.39,3.0889
4.036,2.2674
3.814,2.2172
5.596,2.6003
4.114,2.2913
7.168,2.8789
5.542,2.5885
0.854,1.3891
5.056,2.4925
0.792,1.3654
1.84,1.7247
0.038,1.0473
8.1,3.0472
9.136,3.2215
2.096,1.7962
0.598,1.3008
8.866,3.1748
6.012,2.687
6.646,2.7994
4.992,2.4752
9.416,3.2651
7.696,2.9831
8.558,3.1221
5.124,2.4998
9.104,3.2184
3.918,2.2545
8.524,3.1073
4.89,2.4653
8.536,3.1262
6.982,2.8632
2.9,2.0141
0.878,1.4029
6.662,2.7901
9.016,3.1991
4.844,2.4406
1.164,1.4925
0.99,1.439
7.342,2.9228
8.606,3.1339
2.252,1.8422
0.92,1.4144
7.972,3.0192
6.928,2.8392
4.126,2.2914
4.224,2.3107
7.228,2.897
1.562,1.6247
3.444,2.1345
6.618,2.7938
1.486,1.6143
6.934,2.8539
4.838,2.4559
4.49,2.3808
5.056,2.4857
6.912,2.8359
0.348,1.1813
0.734,1.3458
6.164,2.705
4.72,2.4138
6.988,2.8618
3.712,2.2091
1.09,1.4756
