x,y
3.4133,1.6135
5.9967,2.6665
3.6933,1.748
13.9867,-1.3258
12.87,-0.2448
7.02,2.8112
11.1633,1.2221
6.8933,2.8042
0.0533,0.0506
1.35,0.5367
9.1,2.4513
12.5633,0.0303
5.9667,2.6537
12.46,0.1354
10.4567,1.7242
4.38,2.0941
0.7733,0.2834
11.47,0.9912
4.5367,2.1704
16.3167,-3.3214
4.4533,2.135
0.5633,0.1966
9.42,2.308
3.9567,1.8964
12.7,-0.0971
9.9633,2.0354
12.9467,-0.3237
2.3933,1.071
11.33,1.0962
8.45,2.6621
2.2533,0.9997
14.3767,-1.6793
12.58,0.0274
10.75,1.5357
15.1633,-2.4069
11.9433,0.5784
13.28,-0.6468
15.1233,-2.3563
13.4567,-0.813
1.6433,0.6725
8.23,2.7126
4.5233,2.1492
11.37,1.0737
3.26,1.5252
8.7867,2.568
11.2567,1.1501
9.27,2.3785
8.79,2.5645
16.66,-3.5551
11.88,0.6352
