x1,x2,x3,y
0.562,8.76,0.1462,0.1182
7.178,3.218,0.8266,0.0556
6.826,4.054,0.4464,0.074
1.438,3.576,0.2352,0.0972
9.266,1.68,0.2058,0.0895
8.704,4.316,0.0748,0.0777
1.88,0.832,0.6204,0.1756
7.866,9.408,0.0868,0.0515
7.86,2.304,0.4988,0.0827
7.158,5.15,0.9906,0.0704
1.294,6.982,0.5106,0.1126
6.164,0.24,0.5136,0.0573
4.49,2.474,0.4956,0.0552
3.464,3.944,0.4832,0.0571
0.922,7.85,0.8378,0.1453
9.882,2.414,0.9804,0.098
3.804,6.512,0.901,0.0941
7.388,3.114,0.5572,0.0875
0.294,7.194,0.5264,0.1266
3.594,7.388,0.5156,0.0923
1.314,3.078,0.5934,0.1702
1.906,1.138,0.2494,0.0758
7.002,9.05,0.6426,0.0911
7.274,3.63,0.6484,0.0837
7.78,7.056,0.5612,0.0683
7.584,4.436,0.5656,0.0535
1.062,9.616,0.3316,0.1223
0.672,8.48,0.3464,0.0984
3.576,1.426,0.841,0.0741
6.95,9.24,0.42,0.0607
9.306,9.12,0.7554,0.0924
7.686,0.034,0.9536,0.0991
3.076,9.134,0.4544,0.0679
8.87,3.474,0.5704,0.086
9.74,3.704,0.0296,0.0838
0.742,9.01,0.1272,0.1048
9.018,4.98,0.3458,0.0772
2.922,8.624,0.5574,0.0953
5.932,7.286,0.1622,0.0584
5.168,0.632,0.7752,0.0807
6.888,7.476,0.3202,0.0641
3.772,1.62,0.6414,0.0738
1.376,3.446,0.9896,0.1952
3.564,6.5,0.9942,0.0697
9.288,0.738,0.9804,0.0909
5.55,6.698,0.7398,0.0934
3.876,7.298,0.1152,0.0824
0.18,6.464,0.0072,0.1211
0.318,6.344,0.6646,0.1424
6.224,7.294,0.3648,0.0766
